chapter,question,answers
8,"1 腫瘍の定義について・定義→細胞の〔 ? 〕の増殖であると定義づけられる。（〔 ? 〕）増殖：その固体から栄養をとり、無限性に自律的増殖を営む（〔 ? 〕）増殖：正常細胞が一定の制御のもとに増殖する","自律性|自律性|他律性"
8,"2 良性腫瘍と悪性腫瘍の比較について・発育形式：良性腫瘍〔 ? 〕・〔 ? 〕性・拡張的／悪性腫瘍〔 ? 〕｜発育速度：良性〔 ? 〕／悪性〔 ? 〕｜境界：良性〔 ? 〕／悪性〔 ? 〕｜壊死：良性〔 ? 〕／悪性〔 ? 〕","膨張性|圧排|浸潤性|遅い|速い|鮮明|不鮮明|乏しい|著しい"
8,"3 腫瘍細胞の特色について・①母地細胞からの変異：良性〔 ? 〕／悪性〔 ? 〕②形・大きさ：良性〔 ? 〕／悪性〔 ? 〕","少ない|大きい|揃っている|不揃い"
8,"4 腫瘍細胞の組織学について（〔 ? 〕）、（〔 ? 〕）、脂肪、筋肉など→非上皮性組織 非上皮性組織の悪性腫瘍を（〔 ? 〕）という","結合組織|骨・軟骨|肉腫"
8,"5 腫瘍の分類について 良性／悪性 上皮性：〔 ? 〕〔 ? 〕／〔 ? 〕 非上皮性：〔 ? 〕／〔 ? 〕〔 ? 〕","乳頭腫|腺腫|癌|線維腫|肉腫|白血病"
8,"6 腫瘍の発生の初段階について 1)前癌性病変 （〔 ? 〕）化生 側癌病変･･･（〔 ? 〕）、乳腺症、肝硬変","腸上皮|胃潰瘍"
8,"6 腫瘍の増殖と進展について ・転移 （〔 ? 〕）血行性転移 転移しやすい臓器→（〔 ? 〕）（〔 ? 〕）副腎、骨髄 （〔 ? 〕）リンパ行性転移→（〔 ? 〕転移） （〔 ? 〕）播種性転移→（〔 ? 〕転移）（〔 ? 〕転移）","A|肺|肝臓|B|ウィルヒョウ|C|クルーケンベルク|シュニッツラー"
8,"7 腫瘍の発生原因について 外因 放射線→（〔 ? 〕）（〔 ? 〕） ウイルス EB→（〔 ? 〕）（〔 ? 〕） HTLV→（〔 ? 〕） HB・HC→（〔 ? 〕） ヒトパピローマウイルス→（〔 ? 〕）","慢性骨髄性白血病|甲状腺癌|バーキッドリンパ腫|鼻咽頭癌|成人T細胞白血病|肝細胞癌|子宮頚部癌"
8,"7 内因 遺伝的素因→（〔 ? 〕）ほか ホルモン→（〔 ? 〕）関与","家族性大腸ポリポーシス症|性ホルモン"
8,"9 癌の好発部位 扁平上皮癌→（〔 ? 〕）（〔 ? 〕）（〔 ? 〕）など 腺癌→（〔 ? 〕）（〔 ? 〕）（〔 ? 〕）など","気管・気管支|腎盂以下の尿路|子宮頸部|気管支の末梢|腎臓|子宮体部"
